DateTime of Tweet,Replying to,Tweet,Likes,Retweet,Image
14/11/2022 08:44:36,0,"#De100a0, ep.39: Los fiascos de Elon Musk y el carnet para coche automáticoEl dueño de Tesla ha tenido luces y sombras en su gestión, ¿Se repetirán en Twitter? Los planes de la DGT sobre un nuevo permiso.@AliciaSornosa y @Raul_Romojaro",1,0,
14/11/2022 08:56:05,0,Elon Musk se opone al teletrabajo en Twitter,0,1,
14/11/2022 07:20:31,0,https://youtube.com/shorts/QUAnH6eNgE4…@elonmusk  Elon Max,0,0,
14/11/2022 09:00:01,0,#Musk: “los cohetes permitirán ir de una punta a otra del mundo en 45 minutos”,0,0,
14/11/2022 07:00:10,0,"El ultimátum de Elon Musk a los empleados de Twitter: “Si no te presentas en la oficina, se acepta la renuncia” https://us.as.com/actualidad/el-ultimatum-de-elon-musk-a-los-empleados-de-twitter-si-no-te-presentas-en-la-oficina-se-acepta-la-renuncia-n/?ssm=TW_CC… vía @US_diarioas",0,1,
14/11/2022 08:32:57,0,La nueva pirueta de Musk en Twitter: vídeos más largos y pagar a sus autores,1,1,
14/11/2022 08:13:11,0,Musk propone en el #G20 cohetes espaciales para dar la vuelta al mundo en 45 minutos.,0,0,
14/11/2022 08:21:05,0,Elon Musk advierte al equipo de Twitter,0,0,
14/11/2022 10:03:10,0,El Hyperloop de Elon Musk es posible. ¿Qué tanto lo queremos?,0,0,
14/11/2022 10:25:05,0,Ser Elon Musk no mola tanto como crees,0,0,
14/11/2022 10:17:20,0,Bajo la administración de Elon Musk ya ha sido despedido el 80% de los empleados de Twitter https://wwwhatsnew.com/2022/11/14/bajo-la-administracion-de-elon-musk-ya-ha-sido-despedido-el-80-de-los-empleados-de-twitter/… #tecnología,0,0,
14/11/2022 06:59:48,0,Leonardo DiCaprio With Elon Musk https://youtube.com/shorts/aDjNKoZVxuU?feature=share… via @YouTube,0,0,
14/11/2022 07:20:10,0,Musk va a juicio por su salario en Tesla en plena guerra con el equipo de Twitter,0,0,
14/11/2022 09:00:38,0,"Actualizate en las #NoticiasMundiales con @SputnikMundo Musk supera ""con gran dificultad"" los problemas de Tesla por las cadenas de suministro interrumpidas",0,0,
14/11/2022 07:38:30,0,Elon Musk propone en el G20 cohetes espaciales para dar la vuelta al mundo en 45 minutos. Informa @Omicrono,0,0,
14/11/2022 08:53:57,0,¿Y si Elon Musk reviviera Vine?,0,0,
14/11/2022 10:09:19,0,"¡Sigue dando tumbos, y cargándose @Twitter !  Musk cancela la marca de verificación ""oficial"" que Twitter acababa de lanzar https://my.mtr.cool/blllgmidudv/ @elconfidencial",0,0,
14/11/2022 08:36:24,0,"Qué es Mastodon, la red social que se aprovecha de la llegada de Elon Musk a Twitter https://eleconomista.es/tecnologia/noticias/12034161/11/22/Que-es-Mastodon-la-red-social-que-se-aprovecha-de-la-llegada-de-Elon-Musk-a-Twitter.html… a través de @elEconomistaes",0,0,
14/11/2022 06:50:24,0,"Musk: ""Los cohetes permitirán ir de una punta a otra del mundo en 45 minutos""",0,3,
14/11/2022 08:37:08,0,"Bitcoin lo logrará, pero hay una trampa, dice Elon Musk",0,0,
14/11/2022 08:22:11,0,O: Me lo llevo crudo.,0,0,
14/11/2022 06:53:50,0,"Elon Musk: Las lanzaderas espaciales pueden convertir a la humanidad en ""una especie multiplanetaria""",0,1,
14/11/2022 07:55:15,0,Elon Musk se opone al teletrabajo en Twitter,0,1,
14/11/2022 07:14:40,0,Extraterrestres y túneles contra los atascos: la visión del futuro de Musk en el G20,0,0,
14/11/2022 08:03:06,0,"¿Recuerdas cuando te uniste a Twitter? ¡Yo sí! #MiAniversarioDeTwitter ¡Yo sí!, los cojones, que me lo has recordado Elon Musk",0,0,https://pbs.twimg.com/media/FhgnFG4XwAAjeHR?format=jpg&name=small
14/11/2022 09:10:25,0,"Enviar y recibir dinero, extraer fondos a cuentas bancarias o pagar por servicios.Son las nuevas funcionalidades que Elon Musk quiere desarrollar en #Twitter.¿Quieres conocer toda la información en profundidad?@Ecommerce_es te lo cuenta http://bit.ly/3O5eyfs#Tecnologia",1,0,
14/11/2022 10:19:29,0,"Es que no lo ha hecho gratis, eso seria ser logico que es algo que a Musk le cuesta trabajito",0,0,
14/11/2022 08:14:44,17,"There is an incredible amount of money spent on gaming daily on platforms such as YT, it’s time to build on @Twitter.@elonmusk we need live steaming added to TWITTER and a platform like @MoonNation0 to bridge gaming to the blockchain.I’m happy to offer my help free of charge.",3827,3093,
12/11/2022 01:26:31,820,How do we convince Elon Musk to buy Ticketmaster,1259000,146000,
14/11/2022 10:06:22,0,#Twitter Bajo la administración de Elon Musk ya ha sido despedido el 80% de los empleados de Twitter,0,0,
14/11/2022 07:12:40,0,"Elon Musk: Las lanzaderas espaciales pueden convertir a la humanidad en ""una especie multiplanetaria""",0,0,
14/11/2022 08:32:16,1,Elon Musk propone en el G20 cohetes espaciales para ir de una punta a otra del mundo en 45 minutos,0,0,
14/11/2022 09:29:25,0,"Musk supera ""con gran dificultad"" los problemas de Tesla por las cadenas de suministro interrumpidas",0,0,
13/11/2022 21:44:00,4695,This is a lie. I ran this program up until a week ago when I resigned because I didn’t want to work for @elonmusk For breakfast & lunch we spent $20-$25 a day per person. This enabled employees to work thru lunchtime & mtgs. Attendance was anything from 20-50% in the offices.,279000,4069,
12/11/2022 16:21:04,134,Twitter: $44 billionMusk trying to correct Bernie about insulin prices just to be called a liar by his own website: priceless,675000,7983,https://pbs.twimg.com/media/FhYF0VWWYAMlA3p?format=jpg&name=360x360
10/11/2022 22:18:44,751,"Once more. Musk is doing us an incredible favor by demonstrating beyond a shadow of a doubt that there is no meritocracy and that wealth and power do not, in any way, denote talent or competence.",711000,138000,
13/11/2022 17:56:26,514,"Folks, Elon Musk has invented Verification.",394000,3315,
12/11/2022 19:02:20,2246,"BREAKING: Horror legend Stephen King tweets that he “liked Twitter better in the pre-Musk days,” Musk replies with a ghost emoji, gets ignored by King, then Musk replies again telling King that he’s “a fan” — gets ignored again — and then insecure Musk deletes his replies. LOL!",1125000,109000,
14/11/2022 08:06:56,222,46k ‘likes’ for a fake quote. Ronaldo doesn’t say this. I hope @elonmusk sorts out this kind of crap too.,5692,1010,https://pbs.twimg.com/media/Fheg5ANX0AEzPot?format=jpg&name=small
14/11/2022 07:05:08,57,Elon Musk Just Liked This Picture! #Dogecoin TO THE MOOOOOOOOOOOOON!!!,604,82,https://pbs.twimg.com/media/FhgZ7yGXEAY-6kQ?format=jpg&name=small
11/11/2022 18:43:58,280,"Eli Lilly stock isn't just tanking because of a satirical Tweet on Musk's hellscape, it's tanking because millions of people are asking why we have to pay for insulin, when it was made to be free.That's why other insulin stocks are falling too.Happy Disability Awareness Month",1066000,207000,
10/11/2022 22:07:35,411,Trump ran 6 businesses and our country into the groundElon Musk just warned Twitter employees that “bankruptcy isn’t out of the question” after just 13 DAYS of his leadershipDifferent sociopaths. Same potential for destroying everything they touch,134000,3676,
13/11/2022 15:48:49,116,"I wish I had a more artful way to say this, but Elon Musk is a giant piece of shit. He shouldn’t be in charge of running a local Kinkos, much less Twitter.",4302,686,https://pbs.twimg.com/media/FhdINMUWAAMIrYL?format=jpg&name=small
